id;warranty_id;product_code;note;received_date;pay_date
1;93947;monetize;invoice deliver Samoa;2022-09-10T15:31:38;2022-09-10T18:46:42
2;1023;Guinea applications Rustic;Refined Industrial;2022-09-10T16:04:57;2022-09-10T12:04:10
3;42729;encompassing;Pound withdrawal incentivize;2022-09-11T04:34:05;2022-09-10T21:10:15
4;71769;Sleek Avon connect;violet Fresh Market;2022-09-10T18:17:06;2022-09-10T10:56:00
5;88055;Timor-Leste;withdrawal;2022-09-10T11:05:03;2022-09-10T20:36:08
6;444;Iceland Synchronised Shoes;Accountability Nuevo Architect;2022-09-11T03:43:49;2022-09-10T17:20:38
7;26456;infrastructures Books Response;Egyptian Hills;2022-09-10T08:19:08;2022-09-11T01:24:03
8;38345;Salad Cross-group Computer;integrated maximized;2022-09-10T14:14:10;2022-09-10T14:54:09
9;77061;Alaska Berkshire;monitor fault-tolerant B2C;2022-09-10T11:53:49;2022-09-10T22:17:44
10;89420;Awesome Generic Fresh;parsing;2022-09-10T18:18:53;2022-09-10T12:20:36
